广州

不锈钢 0  供应压力显著，价格存在回调压力
铜 0.7  【铜】强势震荡，比较抗跌周二晚沪铜2406合约收盘下跌0.51%报76710元/吨。昨夜伦铜小幅下跌。现货方面，周二我的有色网1#电解铜上海现货报价均价为76665元/吨，上涨460。消息方面，巴西商贸部出口数据显示，2024年4月截至第2周，共计10个工作日，巴西累计装出铜矿石和铜精矿10.85万吨，去年4月为10.88万吨；日均装运量为1.08万吨/日，较去年4月的0.6万吨/日增加79.36%。行业方面，上周铜精矿加工费TC继续创出新低，进口铜矿价格创出两年来新高，说明短期内似乎并未有太大改善，矿端供应偏紧现象仍较严峻。国内铜企前期开会讨论联合减产，据内部消息已经有冶炼厂实施减产，预计整个行业减产幅度在5%-10%左右。目前处于供应趋紧，需求预期向好的背景下，铜价将受到成本及预期的支撑偏强运行。上周花旗银行发报告表示，预计铜价将在2024年第四季度达到每吨1万美元，并在2026年达到每吨1.2万美元的水平。短期受欧美制裁俄罗斯金属影响，铜价维持强势。操作上建议中线多单逢高减仓，转向波段做多，沪铜2406参考支撑位上移至75000元/吨。（黄忠夏，
铝 0.7  【铝】冲高回落，预计仍反复周二晚沪铝2406合约收盘下跌0.44%报20325元/吨。昨夜伦铝横盘震荡。现货方面，周二无锡电解铝报价20250元/吨，下跌490。消息方面，俄罗斯铝业巨头俄铝公司15日发布声明称，美国和英国对俄罗斯金属的新制裁不会影响该公司的供应能力，因俄铝的全球物流配送解决方案、银行系统、整体生产和质量体系都不会受到影响。行业方面，宏观面，国内设备更新和以旧换新政策对市场需求预期影响较大，国际美国3月核心CPI同比增幅也高于预期值，超预期的通胀数据使得美联储6月降息预期大幅下降，首次降息的预期时间从6月份推迟到了9月份。供需面，上游国内氧化铝价格受到原料偏紧走势仍偏强；电解铝产能在陆续恢复，总体生产平稳；下游进入传统消费旺季，铝下游开工维持增长，短期内铝下游开工将持续向好。库存总体处于近几年低位，且累库趋势有结束趋向。总体国内利好政策及库存绝对低位，加上传统消费旺季的支撑，铝价依然强势明显。短期大幅冲高回落，中线多单注意获利减仓或止盈，转向波段做多，沪铝近期参考支撑位20000元/吨。（黄忠夏，
玻璃 -0.7  【玻璃】现货下跌，交投清单周二晚09合约低开震荡，收盘1452跌0.55%。16日全国均价1737元/吨，环比上一交易日跌3。昨日现货部分地区价格下调，市场拿货情绪一般，需求疲软，中下游备货后处于消化阶段。近期玻璃有产线进行放水冷修，供应量高位小幅下滑，随着中下游补库带动市场产销回暖，企业库存高位去库，不过当前玻璃终端需求依旧疲软，中下游补库力度持续性有限，高供应高库存压力持续存在，短期盘面超跌反弹修复，在供需基本面改善前，玻璃价格将持续承压。操作上，建议反弹偏空交易。
橡胶 1  【橡胶】涨势受挑战周二晚橡胶保持弱势，ru2409收14515/吨，9-1价差-1095。山东老全乳现货13800（-50），上期所仓单21.397万吨。橡胶基本面，由于国内外倒挂和供应淡季，后面存在去库预期。供应方面，国内和泰国将陆续开始开割，当前天气一般。需求方面，需求端半钢胎开工率高位环比走低，但处于历年最高水平，全钢胎在近年中位边际走低。今年地产基建开工较弱，需求悲观，头部房企资金链依然承压。地产政策持续放松，仍要留意后续表现。3月重卡销量同比跌8%，仍处于十年偏低位置。3月乘用车销量弱于预期，车企价格战白热化观望情绪加重。国际上全球经济在美元高利率下仍将持续承压。总体而言，供应端有待验证，需求端亮点不足，宏观提振。操作上，nr多单若有效跌破60日均线宜止损。（黎照锋，
甲醇 0.5  【甲醇】窄幅震荡，2500处有支撑周二晚，MA409收2516，太仓现货价格为2640。消息面：因计价方式的问题，近期伊朗货商谈僵持，配合着地缘政治问题，或大概率制约后续装船速度。甲醇当前的估值偏高，煤头利润好转导致企业春检力度低于往年，国内开工率处于较高水平，另外，国外甲醇开工率亦回升至较高水平，4月进口量或重回100万以上，下游利润较差，需求承压，甲醇供需偏紧的局面或逐渐扭转，但是，港口库存与企业库存仍处于低位，伊朗商谈僵持对装船的制约以及非伊持续的低位供应，将使得甲醇港口库存二季度大概率难以累库，煤价存止跌反弹预期，甲醇走势向好。操作上，中线空单减仓，短线逢低短多，期权方面，卖出宽跨式期权。（萧勇辉，
PVC -1  【PVC】短线利空施压盘面周二晚盘面弱势震荡。昨日现货价格部分小幅下调，华东主流价报5600。台湾台塑公布的5月份船货报价下调30美元/吨。上游开工率环比继续下降，短中期供应压力有所缓解。需求端整体依旧偏弱，出口端关注印度斋月结束后对我国家进口需求增加的可能。社会库存整体维持高位。成本端电石受供需走弱影响价格继续走弱，乙烯价格持稳，估值驱动总体偏弱。近期市场传闻交易所将新增交割区域，同时9月底PVC强制注销一次，目前官方暂未证实。短期市场氛围亦普遍偏弱，技术面弱势，暂关注2409合约左侧5850支撑情况。（黄桂仁，
锌 -0.7  【锌】美元走强，盘面大幅回落周二晚沪锌2406涨0.07%，收于22485元/吨。现货方面，据wind，中国0#平均报价22180元/吨。盘面结束三连阳后连续两日回调。供应端，国内矿山复产进程缓慢，短期矿端供应偏紧，加工带仍有下降预期。近期炼厂4月检修减产计划频出，国内锌锭产出量环比减量,但周内上海市场进口锌仍有大量到货补充。且湖南等地前期检修炼厂恢复，锌锭社会库存仍在持续累增。需求端，下游整体需求一般，下游维持谨慎采购。综合来看，矿端供应偏紧，锌锭总量供应平稳，需求一般。操作上，建议zn2406布空为主。（蒋琴，
工业硅 0.5  【工业硅】供需双减，库存高位周二硅2406跌1.60%，收于11955元/吨。据我的钢铁网，现货报价持稳，上海553#报价13600元/吨。供应端，上周全国整体开炉数减少。新疆、陕西等地区个别硅厂减产停炉。新疆个别硅厂进行线路检修暂时停炉，预计本周恢复。整体供应有所下滑；需求端，上周下游整体需求不佳。近期多晶硅及其下游市场行情延续弱势，对原材采购意愿有所减弱。有机硅厂家供应暂无明显波动，对工业硅需求尚可。上周铝棒市场库存积累，价格高位，去库缓慢；库存端，目前库存相对高位，主要市场行情不佳，货物流动性有限。操作上，建议逢低买多si2406。（蒋琴，
白糖 -0.3  【白糖】原糖下挫，国内受累承压周二晚郑糖2409合约下跌0.52%报6266元/吨。昨夜ICE原糖下跌1.51％。现货方面，周二广西南华：2023/24榨季一级白砂糖报价6560--66620元/吨，下调40元/吨。消息方面，2023/24榨季巴西主产区（中南部地区）甘蔗产量为6.54亿吨，较上年同期同比增长19.29%，入榨量创中南部地区历史新高；累计产糖4242.5万吨，较上年同期增长25.70%。其中甘蔗用于生产食糖的比例从上榨季的45.86%提高至48.87%。行业方面，上周国际原糖大幅下挫，目前已经逼近去年底的前期低点。巴西近期降雨有助于甘蔗单产恢复，机构预估巴西中南部新榨期产糖量将保持在较高水平，全球贸易流依旧受到巴西糖的影响。国内市场现货交易相对清淡，产销区报价均出现不同幅度的下调。近期公布的3月产销数据偏空，广西产销双增，库存同比增加。虽然糖厂产销率同比提高，但是目前处于国产糖供应高峰，进口糖供应也有所增加，郑糖上方存在一定压力。预计短期市场仍有调整压力，不过下档支撑也有望比较强。中线建议等回调企稳再买入，郑糖2409参考前期低点6200元/吨一线支撑。（黄忠夏，
鸡蛋 -1  【鸡蛋】供增需弱盘面增仓下跌周二鸡蛋主力合约小幅反弹，主产区鸡蛋均价3.25元/斤，现货低价区报2.96元/斤。供过于求，国内蛋价整体偏弱运行，但跌至低位后养殖端惜售情绪浓厚。同时在进入亏损周期后，老鸡淘汰积极性提升，局部地区大码蛋供应略有紧俏，对蛋价有所支撑，但随着新开产蛋鸡逐渐进入开产高峰期，小码蛋供应压力显现，库存压力增加，预计现货蛋价延续低位宽幅震荡。06合约空单持有，压力位参考3100；09合约可依托3800压力位择机做空，下方支撑位参考3700。（蒋琴，
生猪 -0.5  【生猪】强预期回归弱现实周二生猪主力合约增仓下跌。现货方面，主产区均价报15.20元/公斤，低价区报14.20元/公斤。国内猪价窄幅整理为主，涨势较之前明显收敛，短期市场供需调整有限，月中企业出栏节奏或有提升预期，加之消费端延续低迷态势，冻品库存压力依旧。不过二次育肥及仔猪补栏积极性尚可，对行情仍有所支撑，预计猪价近月维持区间震荡。09合约预期偏多，但已有大幅升水反映了后市的涨价预期，对于养殖端来说盘面已可锁利套保，建议谨慎偏空对待，压力位参考18200，支撑位17200。（蒋琴，
螺纹 1  【螺纹钢】钢价延续震荡运行周二晚10合约窄幅震荡，收盘3615涨0.08%。4月15日全国25个主要城市HRB400螺纹钢报价涨势放缓，上海3590涨10，广州3850涨20，天津3680涨20；Mysteel调研全国237家贸易商建材日成交量为14.58万吨，环比上一交易日减12.8%。昨日现货价格维持小幅波动，总体依旧持稳为主，市场交投心态偏谨慎，地产投资疲软对市场仍有压力，钢价维持承压震荡运行。供需方面，建材产量持续维持在低位波动，随着传统需求旺季到来，库存去库节奏良好，供需基本面边际改善，另外钢厂铁水回升带动原料反弹，成本驱动对成材带来一定支撑。总体来看，近期宏观氛围向好，短期需求回暖和原料估值修复有利于成材价格反弹，但反弹空间仍需跟踪需求恢复强弱。操作上，短线参与反弹，关注3560支撑和3680压力。
热卷 1  【螺纹钢】钢价延续震荡运行周二晚10合约窄幅震荡，收盘3615涨0.08%。4月15日全国25个主要城市HRB400螺纹钢报价涨势放缓，上海3590涨10，广州3850涨20，天津3680涨20；Mysteel调研全国237家贸易商建材日成交量为14.58万吨，环比上一交易日减12.8%。昨日现货价格维持小幅波动，总体依旧持稳为主，市场交投心态偏谨慎，地产投资疲软对市场仍有压力，钢价维持承压震荡运行。供需方面，建材产量持续维持在低位波动，随着传统需求旺季到来，库存去库节奏良好，供需基本面边际改善，另外钢厂铁水回升带动原料反弹，成本驱动对成材带来一定支撑。总体来看，近期宏观氛围向好，短期需求回暖和原料估值修复有利于成材价格反弹，但反弹空间仍需跟踪需求恢复强弱。操作上，短线参与反弹，关注3560支撑和3680压力。
LPG 0.7  【液化气】跟随原油走高PG2406周二晚反弹，收4697元/吨。现货总体横盘分化震荡，华南广石化出厂5058（-50），山东4960，华东4910。原油近期高位盘旋。OPEC+减产力度尚可，地缘局势混乱，但需求处于淡季。LPG产业方面，国产供应较前期下降但边际回升，处于同期偏高位置。加气站库容率小幅反弹处于同期偏高，炼厂库容率低位震荡处于多年同期偏低；港口库容率小幅反弹但低于多年同期水平。国内总库存量不高仍低于节前水平。下游燃烧需求尚可但处于淡季，汽油添加需求也处于淡季。化工方面的利润边际走低而且总体仍然较差。PDH利润保持亏损状态，开工率回落；烷基化毛利回落至0以下，开工率淡季走低；MTBE利润回调，开工率淡季走低。操作上，少量多头谨慎持有，支撑位4600。（黎照锋，
塑料 0.5  【聚烯烃】维持震荡上涨走势周二晚，L2409收8402,PP2409收7589，中期，聚丙烯新增扩能仍较大叠加前期检修企业或陆续结束，聚烯烃供应压力仍存，国内地产不景气，对经济拖累较大，聚烯烃需求疲软态势延续，基本面仍维持供强需弱的格局，但是，油制烯烃依然亏损，PDH制PP亏损仍较大，原油高位运行，成本端存支撑，另外，短期，PP及PE目前开工率较低，企业库存压力不大，供需面矛盾不大，震荡上涨。操作上，中线空单减仓，短线逢低短多，期权方面，卖出宽跨式期权。（萧勇辉，
PP 0.5  【聚烯烃】维持震荡上涨走势周二晚，L2409收8402,PP2409收7589，中期，聚丙烯新增扩能仍较大叠加前期检修企业或陆续结束，聚烯烃供应压力仍存，国内地产不景气，对经济拖累较大，聚烯烃需求疲软态势延续，基本面仍维持供强需弱的格局，但是，油制烯烃依然亏损，PDH制PP亏损仍较大，原油高位运行，成本端存支撑，另外，短期，PP及PE目前开工率较低，企业库存压力不大，供需面矛盾不大，震荡上涨。操作上，中线空单减仓，短线逢低短多，期权方面，卖出宽跨式期权。（萧勇辉，
菜油 -1  【油脂】3月MPOB报告影响偏多利多出尽棕榈油走弱周二晚国内油脂震荡偏弱。豆油2409收跌0.74%，报7542元/吨；棕榈油2409收跌0.63%，报7596元/吨；菜油2409收跌0.76%，报8065元/吨。现货方面，昨日广东贸易商毛豆油现货基差报价+300。外盘方面，昨晚CBOT豆油震荡偏弱，马来西亚棕榈油震荡偏弱。3月MPOB报告显示，马棕3月产量为1392471吨，环比增加10.57%；出口环比大增28.61%至131.8万吨；期末库存减10.68%至171.5万吨。产量基本符合市场预期，出口显著高于市场预期，出口的大幅增长最终导致期末库存低于市场预期，因此本次报告影响偏多。不过，随着斋月题材炒作结束，后续产地进入季节性增产，且豆棕和菜棕价差处于历史低位导致豆油和菜油的替代需求增多，预计棕榈油短期或震荡偏弱为主。操作上，建议棕榈油09空单继续持有，止损位参考8200附近。（邓丹，
棕榈油 -1  【油脂】3月MPOB报告影响偏多利多出尽棕榈油走弱周二晚国内油脂震荡偏弱。豆油2409收跌0.74%，报7542元/吨；棕榈油2409收跌0.63%，报7596元/吨；菜油2409收跌0.76%，报8065元/吨。现货方面，昨日广东贸易商毛豆油现货基差报价+300。外盘方面，昨晚CBOT豆油震荡偏弱，马来西亚棕榈油震荡偏弱。3月MPOB报告显示，马棕3月产量为1392471吨，环比增加10.57%；出口环比大增28.61%至131.8万吨；期末库存减10.68%至171.5万吨。产量基本符合市场预期，出口显著高于市场预期，出口的大幅增长最终导致期末库存低于市场预期，因此本次报告影响偏多。不过，随着斋月题材炒作结束，后续产地进入季节性增产，且豆棕和菜棕价差处于历史低位导致豆油和菜油的替代需求增多，预计棕榈油短期或震荡偏弱为主。操作上，建议棕榈油09空单继续持有，止损位参考8200附近。（邓丹，
豆油 -1  【油脂】3月MPOB报告影响偏多利多出尽棕榈油走弱周二晚国内油脂震荡偏弱。豆油2409收跌0.74%，报7542元/吨；棕榈油2409收跌0.63%，报7596元/吨；菜油2409收跌0.76%，报8065元/吨。现货方面，昨日广东贸易商毛豆油现货基差报价+300。外盘方面，昨晚CBOT豆油震荡偏弱，马来西亚棕榈油震荡偏弱。3月MPOB报告显示，马棕3月产量为1392471吨，环比增加10.57%；出口环比大增28.61%至131.8万吨；期末库存减10.68%至171.5万吨。产量基本符合市场预期，出口显著高于市场预期，出口的大幅增长最终导致期末库存低于市场预期，因此本次报告影响偏多。不过，随着斋月题材炒作结束，后续产地进入季节性增产，且豆棕和菜棕价差处于历史低位导致豆油和菜油的替代需求增多，预计棕榈油短期或震荡偏弱为主。操作上，建议棕榈油09空单继续持有，止损位参考8200附近。（邓丹，
豆粕 1  【饲料】美豆即将进入播种期豆粕长期易涨难跌周二晚国内饲料大幅下跌。豆粕2409收跌1.78%，报3317元/吨；菜粕2409收跌2.88%，报2727元/吨。外盘方面，昨晚CBOT美豆震荡偏弱。现货方面，昨日广东贸易商豆粕现货基差报价-90。美国4月USDA报告显示，阿根廷2023/2024年度大豆产量预期维持在5000万吨不变，巴西2023/2024年度大豆产量预期维持在此前的1.55亿吨不变；预计美国大豆期末库存3.40亿蒲式耳，分析师预期3.1861亿蒲式耳，USDA此前预计3.15亿蒲式耳。库存高于预期，报告中性偏空。美豆即将进入播种期，预计豆粕长期或易涨难跌。操作上，建议豆粕09多单继续持有，支撑位参考3100。（邓丹，
菜粕 1  【饲料】美豆即将进入播种期豆粕长期易涨难跌周二晚国内饲料大幅下跌。豆粕2409收跌1.78%，报3317元/吨；菜粕2409收跌2.88%，报2727元/吨。外盘方面，昨晚CBOT美豆震荡偏弱。现货方面，昨日广东贸易商豆粕现货基差报价-90。美国4月USDA报告显示，阿根廷2023/2024年度大豆产量预期维持在5000万吨不变，巴西2023/2024年度大豆产量预期维持在此前的1.55亿吨不变；预计美国大豆期末库存3.40亿蒲式耳，分析师预期3.1861亿蒲式耳，USDA此前预计3.15亿蒲式耳。库存高于预期，报告中性偏空。美豆即将进入播种期，预计豆粕长期或易涨难跌。操作上，建议豆粕09多单继续持有，支撑位参考3100。（邓丹，



东兴

橡胶 0.7  橡胶：注意天气炒作，09合约逢低做多周二夜盘国内天然橡胶主力合约2409报收14515（-60）元/吨，跌0.41%，连续下跌后寻底。上周整体社会干胶库存下降，深浅色胶库存齐降，但总体仍在高位。4-5月国内云南、海南割胶，泰国仍处于停割期，总体依然容易炒作天气，关注后续炒作情况。周二现货小幅下跌，全乳胶13800元/吨，-50/-0.36%；20号泰标1630美元/吨，-20/-1.21%，折合人民币11578元/吨；20号泰混13300元/吨，-180/-1.34%。交易策略方面，橡胶炒作天气，中长期仍可逢低做多，短期橡胶多头暂歇，注意是否有天气炒作，09合约逢低做多为主。
生猪 0  生猪：猪价下行，关注市场情绪昨日生猪全国均价15.1元/公斤，下跌0.4%，东北地区猪价14.7元/公斤，下跌0.5%，两广地区15.4元/公斤，稳定，生猪现货价格偏稳运行。期货方面，主力合约大幅回落，LH2409日内收于17665元/吨，下跌2.19%。全国猪价延续稳中小幅走弱，跌幅相对有限，虽集团场略有缩量，但散户大猪仍相对认卖，供给压力仍在；而需求跟进一般，屠企亏损、白条销量不佳，短期供需仍显僵持。不过猪价震荡走跌，规模场有挺价情绪，预计短期猪价震荡运行。
棉花 0  棉花：美棉种植进度良好，价格下行4月16日，ICE棉价82.98美分/磅，下跌2.64%，棉花现货指数CCI3128B报价为17153元/吨，主力合约价格窄幅震荡，收于16345元/吨，下跌0.3%，基差808元/吨，CYIndexC32S报价23140元/吨，棉纱主力价格为21160元/吨，下跌0.42%，FCYIndexC32S(进口棉纱价格指数)报价23590元/吨；郑棉仓单13842，有效预报2796。出口方面，上周美棉周度签约量为81500包，环比下降4%，累计签约1097万包，较去年同期下降7%。其中中国当周采购50201包，累计签约量为428万包，较去年同期增加65.1%。其他国家累计签约量为669万包，较去年同期减少27.5%。截至4月14日，美棉播种进度为8%，略快于去年同期。宏观环境预期转差，美棉出口持续低迷，ICE棉价下跌至本轮回调新低，关注宏观和新棉种植情况。国内方面，2024年全国植棉意向面积下降1.5%，或对郑棉有一定支撑，不过商业库存维持高位，下游产销一般，纺企补库意愿不强，多空交织，郑棉或延续震荡走势。图片图片
国债 1  期债：基本面支撑，前多谨持央行16日开展了20亿元7天期逆回购操作，当日20亿元逆回购到期，单日完全对冲到期量。银行间债市走势分化，短券持续弱势盘整，税期前同业存单利率有所上行，而3月工业和消费数据偏弱，提振中长端现券。国债期货集体收涨，30年期主力合约涨0.4%报，10年期主力合约涨0.03%，5年期主力合约涨0.02%，2年期主力合约涨0.01%。期债T06前多谨持，支撑上移至104。
焦煤 0  煤焦：煤焦高位震荡昨日焦煤主力合约收盘2235元/吨（-1.04%），蒙5原煤1310元/吨，焦炭主力合约收盘1746元/吨（+0.34%），日照港准一级焦1880元/吨。一季度gdp增长高于预期，而地产继续下探，房地产开发投资下降9.5%，基建投资有所抬升。建材成交略有下滑，上周钢材供需下滑，库存继续下降，热卷小幅降库，库存压力偏大。焦价持续下跌后焦企利润压力增大，焦企厂内库存走低，部分投机及贸易入场，现货价格向好，叠加钢厂库存偏低，市场有补库预期，焦炭首轮提涨落地。煤矿产量仍旧维持稳定，上游库存持续增加，山西地区煤矿压力有限，前期部分事故煤矿开始进入复产，二季度后产量将有所抬升，产地竞拍向好，价格多上涨，蒙煤通关维持较高位，库存压力较大，但前期悲观情绪有修复。铁水回升背景下有补库需求，短期煤焦或反弹，盘面明显升水，继续上行空间或有限，预计煤焦震荡运行。关注钢厂利润及铁水走势。。
焦炭 0  煤焦：煤焦高位震荡昨日焦煤主力合约收盘2235元/吨（-1.04%），蒙5原煤1310元/吨，焦炭主力合约收盘1746元/吨（+0.34%），日照港准一级焦1880元/吨。一季度gdp增长高于预期，而地产继续下探，房地产开发投资下降9.5%，基建投资有所抬升。建材成交略有下滑，上周钢材供需下滑，库存继续下降，热卷小幅降库，库存压力偏大。焦价持续下跌后焦企利润压力增大，焦企厂内库存走低，部分投机及贸易入场，现货价格向好，叠加钢厂库存偏低，市场有补库预期，焦炭首轮提涨落地。煤矿产量仍旧维持稳定，上游库存持续增加，山西地区煤矿压力有限，前期部分事故煤矿开始进入复产，二季度后产量将有所抬升，产地竞拍向好，价格多上涨，蒙煤通关维持较高位，库存压力较大，但前期悲观情绪有修复。铁水回升背景下有补库需求，短期煤焦或反弹，盘面明显升水，继续上行空间或有限，预计煤焦震荡运行。关注钢厂利润及铁水走势。。
PTA 1  TA：原油回落，TA偏强震荡周二油价回落，布伦特原油主力合约报收90.14（+0.12）美元/桶，涨0.13%。TA主力合约2409周二夜盘报收6078（+20）元/吨，涨0.33%，现货市场基差报05-8（+1）元/吨，白天加工费160（-40）元/吨附近，TA开工73（+4）%，开工恢复，加工费仍偏低。交易策略方面，TA开工恢复，但加工费仍偏低，原油上涨动力暂歇，TA注意上方压力。
短纤 1  TA：原油回落，TA偏强震荡周二油价回落，布伦特原油主力合约报收90.14（+0.12）美元/桶，涨0.13%。TA主力合约2409周二夜盘报收6078（+20）元/吨，涨0.33%，现货市场基差报05-8（+1）元/吨，白天加工费160（-40）元/吨附近，TA开工73（+4）%，开工恢复，加工费仍偏低。交易策略方面，TA开工恢复，但加工费仍偏低，原油上涨动力暂歇，TA注意上方压力。












五矿

股指 1  前一交易日沪指-1.65%，创指-1.97%，科创50-2.36%，北证50-3.87%，上证50-0.48%，沪深300-1.07%，中证500-2.77%，中证1000-4.18%，中证2000-7.16%，万得微盘-10.55%。两市合计成交9471亿，较上一日-500亿。宏观消息面：1、我国一季度GDP超29万亿元，同比增长5.3%，超出市场预期。2、1-3月份全国房地产开发投资22082亿元同比下降9.5%，降幅较1-2月扩大0.5个百分点。3、证监会：市场有观点认为“本次退市规则修改主要针对小盘股”这纯属误读，沪深两市明年适用组合财务指标触及退市的公司家数预计在30家左右。资金面：沪深港通-27.93亿；融资额-25.94亿；隔夜Shibor利率-0.10bp至1.7150%，流动性中性；3年期企业债AA-级别利率-2.62bp至4.4014%，十年期国债利率-0.44bp至2.2733%，信用利差-2.18bp至213bp；美国10年期利率+13.00bp至4.63%，中美利差-13.44bp至-236bp；4月MLF利率不变。市盈率：沪深300:11.70，中证500:21.35，中证1000:30.69，上证50:10.26。市净率：沪深300:1.26，中证500:1.60，中证1000:1.75，上证50:1.14。股息率：沪深300:2.95%，中证500:1.90%，中证1000:1.45%，上证50:3.85%。期指基差比例：IF当月/下月/当季/隔季：+0.08%/-0.09%/-0.77%/-1.94%；IC当月/下月/当季/隔季：+0.12%/-0.39%/-1.18%/-2.32%；IM当月/下月/当季/隔季：-0.23%/-1.58%/-2.95%/-4.98%；IH当月/下月/当季/隔季：+0.17%/+0.06%/-0.58%/-1.96%。交易逻辑：海外方面，近期美国公布的经济数据超预期，叠加近期铜价和油价上升，海外再通胀预期上升，美债利率上行。国内方面，3月社融、M1、CPI等增速均回落，经济压力仍在，但随着各项经济政策陆续出台，有望扭转经济预期。政治局会议和中央经济工作会议提出要“以进促稳，先立后破”，两会提出今年GDP目标为“5%左右”超出市场预期，各部委已经开始逐步落实重要会议的政策，国家队加大力度通过ETF稳定市场。当前各指数估值均处于历史最低分位值附近，股债收益比不断走高，建议IF多单持有。期指交易策略：单边建议IF多单持有，套利建议择机多IF空IM。
国债 0  行情方面：周二，TL主力合约上涨0.40%，收于106.60；T主力合约上涨0.03%，收于104.460；TF主力合约上涨0.02%，收于103.370；TS主力合约上涨0.01%，收于101.666。消息方面：1、关于分红和退市证监会深夜回应市场热点问题；2、美国3月新宅开工季调后折年率为132.1万户，预估为148.5万户，前值为152.1万户；3、美国3月工业产出环比增长0.4%，预期增长0.40%；3月制造业产出环比增长0.5%，预期增长0.3%。流动性：央行周二进行20亿元7天期逆回购操作，中标利率1.8%，与此前持平。当日有20亿元7天期逆回购到期，当日净投放为零。策略：目前国内和海外需求相关的数据表现相对较好，与国内需求相关的数据仍未见明显改善，地产是最大的拖累项。考虑到宽货币的政策环境及国债价格的高位，预计后市价格波动空间有限，策略上以观望为主。
铜 0.5  中国一季度GDP数据强于预期，但3月数据稍显偏弱，叠加权益市场走弱，铜价震荡回调，昨日伦铜收跌0.98%至9474美元/吨，沪铜主力合约收至76710元/吨。产业层面，昨日LME库存增加400至123875吨，注销仓单比例提高至15.2%，Cash/3M贴水112.9美元/吨。国内方面，昨日上海地区现货重回贴水格局，报贴水200元/吨，换月后基差走弱，下游畏高谨慎观望，成交氛围偏淡。进出口方面，昨日国内铜现货进口亏损扩大至1400元/吨左右，洋山铜溢价继续下滑。废铜方面，昨日国内精废价差小幅扩大至3260元/吨，废铜替代优势维持偏高水平。价格层面，地缘问题和美债收益率走高导致市场避险情绪仍高，贵金属价格维持高位，对铜价仍有情绪提振。产业上看，国内经济支持政策继续落地，旺季背景下需求有支撑，叠加铜精矿现货加工费维持历史低位和海外潜在的供应扰动，铜价支撑仍强，同时关注今日公布的国内经济数据及其对市场情绪的影响。今日沪铜主力运行区间参考：76000-77600元/吨；伦铜3M运行区间参考：9400-9580美元/吨。
